price,sqft_living,yr_built
221900,1180,1955
538000,2570,1951
180000,770,1933
604000,1960,1965
510000,1680,1987
1225000,5420,2001
257500,1715,1995
291850,1060,1963
229500,1780,1960
323000,1890,2003
662500,3560,1965
468000,1160,1942
310000,1430,1927
400000,1370,1977
530000,1810,1900
650000,2950,1979
395000,1890,1994
485000,1600,1916
189000,1200,1921
230000,1250,1969
385000,1620,1947
2000000,3050,1968
285000,2270,1995
252700,1070,1985
329000,2450,1985
233000,1710,1941
937000,2450,1915
667000,1400,1909
438000,1520,1948
719000,2570,2005
580500,2320,2003
280000,1190,2005
687500,2330,1929
535000,1090,1929
322500,2060,1981
696000,2300,1930
550000,1660,1933
640000,2360,1904
240000,1220,1969
605000,2620,1996
625000,2570,2000
775000,4220,1984
861990,3595,2014
685000,1570,1922
309000,1280,1959
488000,3160,2003
210490,990,1966
785000,2290,1981
450000,1250,1953
1350000,2753,1953
228000,1190,1955
345000,3150,1966
600000,1410,1950
585000,1980,1981
920000,2730,1927
885000,2830,1995
292500,2250,2008
301000,2420,2003
951000,3250,1968
430000,1850,1991
650000,2150,1959
289000,1260,1954
505000,2519,1973
549000,1540,2014
425000,1660,1979
317625,2770,1925
975000,2720,1989
287000,2240,2005
204000,1000,1968
1325000,3200,1965
1040000,4770,1973
325000,1260,1972
571000,2750,1916
360000,2380,2005
349000,1790,1965
832500,3430,1986
380000,1760,1956
480000,1040,1941
410000,1410,1956
720000,3450,2002
390000,2350,2003
360000,1900,1992
355000,2020,1948
356000,1680,1964
315000,960,1952
940000,2140,1925
305000,2660,1961
461000,2770,2006
215000,1610,1979
335000,1030,2006
243500,1980,1988
1099880,3520,2001
153000,1200,1962
430000,1580,1939
700000,1580,1939
905000,3300,1946
247500,1960,1967
199000,1160,1975
314000,1810,1980
437500,2320,1992
850830,2070,1910
555000,1980,1929
699950,2190,1983
1088000,2920,1950
290000,1210,1954
375000,2340,1978
460000,1670,1939
188500,1240,1985
680000,3140,1991
470000,2030,1942
597750,2310,1984
570000,1260,1905
272500,1540,1980
329950,2080,1971
480000,3230,2001
740500,4380,1900
518500,1590,2010
205425,880,1945
171800,1570,1950
535000,1610,1925
660000,2400,1964
391500,1450,1987
395000,770,1953
445000,2100,1924
770000,2910,1990
1450000,2750,1914
445000,2100,1967
260000,2160,1978
822500,2320,1926
430000,2070,2004
212000,1060,1986
660500,2010,1986
784000,3950,1989
453246,2010,2014
675000,2140,2005
199000,1320,1956
220000,2020,1968
452000,2590,1968
382500,1190,1981
519950,1170,2014
665000,1110,1925
527700,2820,1968
205000,1610,1962
420000,1060,1923
500000,2030,1961
921500,3670,1994
890000,2550,1905
430000,2420,2007
258000,2260,1960
511000,1430,1947
532170,1360,1990
560000,1110,1947
282950,1250,1954
2250000,5180,2006
350000,700,1942
215000,1180,1967
650000,3960,1996
320000,2640,1967
247000,1270,1916
320000,1760,1968
255000,2060,1962
438000,1780,1962
900000,3400,2000
441000,1910,1979
420000,2020,1975
370000,1580,1976
269950,1340,1949
807100,2680,1999
653000,2680,1979
371500,1370,1964
284000,1560,1954
272000,2160,1978
313000,1340,1955
917500,3880,1984
673000,2590,1980
425000,1120,2008
399950,1970,1986
385000,1220,1901
269950,1950,1975
330000,1350,1949
260000,1670,1988
470000,2380,1925
589000,2440,1961
163500,1050,1996
835000,3130,1993
1095000,4090,1986
269000,1490,1969
560000,1900,1987
615000,1330,1901
585188,2230,1975
305000,1650,1977
166950,1190,1959
799000,2140,1959
400000,2180,1962
230000,1060,1948
256883,1690,2003
423000,1970,1920
465000,2150,2007
440000,1910,1997
385000,1350,1969
210000,860,1943
297000,1940,1994
470000,1010,1952
226500,1300,1976
274250,910,1962
840000,2480,1966
677900,2440,2010
425000,1010,1915
180250,900,1941
464000,2300,1920
320000,1550,1993
625504,1270,2014
592500,2240,1983
465000,2714,2005
477000,1720,1978
280000,850,1923
1505000,3300,1957
445838,2250,2000
1072000,3900,1947
467000,1320,1947
686000,2760,1999
279950,1750,1961
527000,2330,1987
325000,2220,1966
328000,2020,1994
390000,1250,1942
479950,1510,2005
264950,1720,1978
235000,1430,1961
516500,1480,2004
655000,1450,1915
500000,2280,1960
315000,2940,1978
213000,1000,1961
475000,2480,1947
1025000,3760,1983
416000,2220,1976
410000,1970,1904
800000,3830,1993
472000,4410,1965
225000,1430,1968
210000,830,1940
455000,1430,1925
225000,1300,1954
480000,1030,1918
363000,2740,1990
2400000,3650,2000
181000,720,1954
250000,2010,1976
481000,1560,1918
260000,1810,1978
455000,3360,2001
415000,1510,1991
349500,1400,1953
245000,1730,1987
592500,1420,1928
385000,2360,1955
315000,1580,1974
255000,1230,1979
693000,2460,2006
780000,1660,1911
237000,1270,1960
525000,2100,1979
425000,770,1930
369900,760,1936
290000,1700,1988
285000,1120,1954
415000,1070,1937
272500,2070,1979
2900000,5050,1982
1365000,5310,1989
436000,1040,1939
210000,1700,1967
236000,1300,1961
331000,1080,1954
365000,2653,2006
450000,2290,1960
770000,3820,2014
455000,2210,1997
405000,2390,1908
304900,2600,1969
170000,860,1931
2050000,3830,1905
780000,3500,2005
330000,2420,1988
370000,2720,1992
467000,2500,1979
405000,1670,1980
675000,2900,1985
500000,1640,1954
389999,1890,1968
630000,2950,1975
360000,2160,1992
580000,3280,1986
550000,1970,1929
879000,3360,1994
265000,1320,1993
446500,2650,1990
404000,2030,1963
267500,1590,1957
3075000,4550,2002
335000,2440,1998
576000,1940,1948
208633,2040,2006
315000,2200,1964
725000,1920,1913
550000,1800,1965
610750,2180,1984
550700,1010,1908
665000,3320,1960
834000,2370,1928
201000,1660,1915
2384000,3650,1921
1384000,4290,1997
1400000,4290,1997
305000,1950,1979
487000,2590,1948
390000,1930,1988
548000,1470,1916
268750,800,1943
819900,3150,2013
520000,2030,1984
230000,1450,2003
240000,1510,1969
232000,1240,1922
