Country,Birth Rate,Co2-Emissions,Fertility Rate,Gasoline Price,GDP,Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Physicians per thousand,Population,Unemployment rate,development_status
Afghanistan,32.49,8672,4.47,0.7,19101353833,47.9,64.5,638,0.43,0.28,38041754,11.12,1
Albania,11.78,4536,1.62,1.36,15278077447,7.8,78.5,15,1.12,1.2,2854191,12.33,2
Algeria,24.28,150006,3.02,0.28,1.70E+11,20.1,76.7,112,0.95,1.72,43053054,11.7,2
Angola,40.73,34693,5.52,0.97,94635415870,51.6,60.8,241,0.71,0.21,31825295,6.89,2
Antigua and Barbuda,15.33,557,1.99,0.99,1727759259,5,76.9,42,3.04,2.76,97118,6.89505205,3
Argentina,17.02,201348,2.26,1.1,4.50E+11,8.8,76.5,39,3.35,3.96,44938712,9.79,2
Armenia,13.99,5156,1.76,0.77,13672802158,11,74.9,26,0.66,4.4,2957731,16.99,2
Australia,12.6,375908,1.74,0.93,1.39E+12,3.1,82.7,6,13.59,3.68,25766605,5.27,3
Austria,9.7,61448,1.47,1.2,4.46E+11,2.9,81.6,5,5.117965118,5.17,8877067,4.67,3
Azerbaijan,14,37620,1.73,0.56,39207000000,19.2,72.9,26,0.47,3.45,10023318,5.51,2
The Bahamas,13.97,1786,1.75,0.92,12827000000,8.3,73.8,70,5.25,1.94,389482,10.36,3
Bahrain,13.99,31694,1.99,0.43,38574069149,6.1,77.2,14,3.226589644,0.93,1501635,0.71,3
Bangladesh,18.18,84246,2.04,1.12,3.03E+11,25.1,72.3,173,0.51,0.58,167310838,4.19,2
Barbados,10.65,1276,1.62,1.81,5209000000,11.3,79.1,27,3.13,2.48,287025,10.33,3
Belarus,9.9,58280,1.45,0.6,63080457023,2.6,74.2,2,1.49,5.19,9466856,4.59,2
Belgium,10.3,96889,1.62,1.43,5.30E+11,2.9,81.6,5,10.31,3.07,11484055,5.59,3
Belize,20.79,568,2.31,1.13,1879613600,11.2,74.5,36,1.65,1.12,390353,6.41,2
Benin,36.22,6476,4.84,0.72,14390709095,60.5,61.5,397,0.39,0.08,11801151,2.23,2
Bhutan,17.26,1261,1.98,0.98,2446674101,24.8,71.5,183,0.32,0.42,727145,2.34,2
Bolivia,21.75,21606,2.73,0.71,40895322865,21.8,71.2,155,1.36,1.59,11513100,3.5,2
Bosnia and Herzegovina,8.11,21848,1.27,1.05,20047848435,5,77.3,10,1.04,2.16,3301000,18.42,2
Botswana,24.82,6340,2.87,0.71,18340510789,30,69.3,144,0.29,0.37,2346179,18.19,2
Brazil,13.92,462299,1.73,1.02,1.84E+12,12.8,75.7,60,1.53,2.15,212559417,12.08,2
Brunei,14.9,7664,1.85,0.37,13469422941,9.8,75.7,31,2.549272512,1.61,433285,9.12,3
Bulgaria,8.9,41708,1.56,1.11,86000000000,5.9,74.9,10,1.57,4.03,6975761,4.34,2
Burkina Faso,37.93,3418,5.19,0.98,15745810235,49,61.2,320,0.34,0.08,20321378,6.26,1
Burundi,39.01,495,5.41,1.21,3012334882,41,61.2,548,0.189767538,0.1,11530580,1.43,1
Ivory Coast,35.74,9674,4.65,0.93,58792205642,59.4,57.4,617,0.36,0.23,25716544,3.32,2
Cape Verde,19.49,543,2.27,1.02,1981845741,16.7,72.8,58,0.68,0.77,483628,12.25,2
Cambodia,22.46,9919,2.5,0.9,27089389787,24,69.6,160,1.511325781,0.17,16486542,0.68,2
Cameroon,35.39,8291,4.57,1.03,38760467033,50.6,58.9,529,0.35,0.09,25876380,3.38,2
Canada,10.1,544894,1.5,0.81,1.74E+12,4.3,81.9,10,9.51,2.61,36991981,5.56,3
Central African Republic,35.35,297,4.72,1.41,2220307369,84.5,52.8,829,0.37,0.06,4745185,3.68,1
Chad,42.17,1016,5.75,0.78,11314951343,71.4,54,1140,0.6,0.04,15946876,1.89,1
Chile,12.43,85822,1.65,1.03,2.82E+11,6.2,80,13,2,2.59,18952038,7.09,3
China,10.9,9893038,1.69,0.96,1.99E+13,7.4,77,29,0.87,1.98,1397715000,4.32,3
Colombia,14.88,97814,1.81,0.68,3.24E+11,12.2,77.1,83,1.23,2.18,50339443,9.71,2
Comoros,31.88,202,4.21,0.997665875,1185728677,51.3,64.1,273,0.71,0.27,850886,4.34,2
Republic of the Congo,32.86,3282,4.43,0.97,10820591131,36.2,64.3,378,0.88,0.12,5380508,9.47,2
Costa Rica,13.97,8023,1.75,0.98,61773944174,7.6,80.1,27,1.84,2.89,5047561,11.85,2
Croatia,9,17488,1.47,1.26,60415553039,4,78.1,8,2.92,3,4067500,6.93,3
Cuba,10.17,28284,1.62,1.4,1.00E+11,3.7,78.7,36,0.05,8.42,11333483,1.64,2
Cyprus,10.46,6626,1.33,1.23,24564647935,1.9,80.8,6,4.165981844,1.95,1198575,7.27,3
Czech Republic,10.7,102218,1.69,1.17,2.46E+11,2.7,79,3,3,4.12,10669709,1.93,3
Democratic Republic of the Congo,41.18,2021,5.92,1.49,47319624204,68.2,60.4,473,0.18,0.07,86790567,4.24,1
Denmark,10.6,31786,1.73,1.55,3.48E+11,3.6,81,4,4.805434679,4.01,5818553,4.91,3
Djibouti,21.47,620,2.73,1.32,3318716359,49.8,66.6,248,0.920320582,0.22,973560,10.3,2
Dominica,12,180,1.9,1.019806247,596033333,32.9,76.6,219.8293433,1.48,1.08,71808,6.85221067,2
Dominican Republic,19.51,25258,2.35,1.07,88941298258,24.1,73.9,95,0.4,1.56,10738958,5.84,2
Ecuador,19.72,41155,2.43,0.61,1.07E+11,12.2,76.8,59,2.46,2.04,17373662,3.97,2
Egypt,26.38,238560,3.33,0.4,3.03E+11,18.1,71.8,37,0.707750705,0.45,100388073,10.76,2
El Salvador,18.25,7169,2.04,0.83,27022640000,11.8,73.1,46,0.5,1.57,6453553,4.11,2
Equatorial Guinea,33.24,5655,4.51,0.982558122,11026774945,62.6,58.4,301,1.05,0.4,1355986,6.43,2
Eritrea,30.3,711,4.06,2,2065001626,31.3,65.9,480,1.247663879,0.06,6333135,5.14,1
Estonia,10.9,16590,1.59,1.14,31386949981,2.1,78.2,9,3.14,4.48,1331824,5.11,3
Ethiopia,32.34,14870,4.25,0.75,96107662398,39.1,66.2,401,1.27714863,0.08,112078730,2.08,1
Fiji,21.28,2046,2.77,0.82,5535548972,21.6,67.3,34,1.28,0.84,889953,4.1,2
Finland,8.6,45871,1.41,1.45,2.69E+11,1.4,81.7,3,4.831798433,3.81,5520314,6.59,3
France,11.3,303276,1.88,1.39,2.72E+12,3.4,82.5,8,11.16,3.27,67059887,8.43,3
Gabon,31.61,5321,3.97,0.92,16657960228,32.7,66.2,252,1.46,0.68,2172579,20,2
The Gambia,38.54,532,5.22,1.18,1763819048,39,61.7,597,0.13,0.1,2347706,9.06,1
Georgia,13.47,10128,2.06,0.76,17743195770,8.7,73.6,25,0.05,7.12,3720382,14.4,2
Germany,9.5,727973,1.56,1.39,3.85E+12,3.1,80.9,7,9.99,4.25,83132799,3.04,3
Ghana,29.41,16670,3.87,0.92,66983634224,34.9,63.8,308,0.27,0.14,30792608,4.33,2
Greece,8.1,62434,1.35,1.54,2.10E+11,3.6,81.3,3,4.46,5.48,10716322,17.24,3
Grenada,16.47,268,2.06,1.12,1228170370,13.7,72.4,25,1.716522092,1.41,112003,6.893917119,2
Guatemala,24.56,16777,2.87,0.79,76710385880,22.1,74.1,95,1.6,0.35,16604026,2.46,2
Guinea,36.36,2996,4.7,0.9,13590281809,64.9,61.2,576,0.483061781,0.08,12771246,4.3,2
Guinea-Bissau,35.13,293,4.48,1.004268373,1340389411,54,58,667,0.16,0.13,1920922,2.47,1
Guyana,19.97,2384,2.46,0.9,4280443645,25.1,69.8,169,0.98,0.8,782766,11.85,2
Haiti,24.35,2978,2.94,0.81,8498981821,49.5,63.7,480,0.25,0.23,11263077,13.78,1
Honduras,21.6,9813,2.46,0.98,25095395475,15.1,75.1,65,1.01,0.31,9746117,5.39,2
Hungary,9.6,45537,1.54,1.18,1.61E+11,3.6,75.8,12,2.62,3.41,9769949,3.4,3
Iceland,12,2065,1.71,1.69,24188035739,1.5,82.7,4,5.117739026,4.08,361313,2.84,3
India,17.86,2407672,2.22,0.97,2.61E+12,29.9,69.4,145,0.3,0.86,1366417754,5.36,2
Indonesia,18.07,563325,2.31,0.63,1.12E+12,21.1,71.5,177,0.48,0.43,270203917,4.69,2
Iran,18.78,661710,2.14,0.4,4.45E+11,12.4,76.5,16,1.58,1.58,82913906,11.38,2
Iraq,29.08,190061,3.67,0.61,2.34E+11,22.5,70.5,79,1.24,0.71,39309783,12.82,2
Republic of Ireland,12.5,37711,1.75,1.37,3.89E+11,3.1,82.3,5,10.79,3.31,5007069,4.93,3
Israel,20.8,65166,3.09,1.57,3.95E+11,3,82.8,3,7.58,4.62,9053300,3.86,3
Italy,7.3,320411,1.29,1.61,2.00E+12,2.6,82.9,2,5.972099486,3.98,60297396,9.89,3
Jamaica,16.1,8225,1.98,1.11,16458071068,12.4,74.4,80,1.33,1.31,2948279,8,2
Japan,7.4,1135886,1.42,1.06,5.08E+12,1.8,84.2,5,6.77,2.41,126226568,2.29,3
Jordan,21.98,25108,2.76,1.1,43743661972,13.9,74.4,46,1.49,2.32,10101694,14.72,2
Kazakhstan,21.77,247207,2.84,0.42,1.80E+11,8.8,73.2,10,0.41,3.25,18513930,4.59,2
Kenya,28.75,17910,3.49,0.95,95503088538,30.6,66.3,342,0.25,0.16,52573973,2.64,2
Kiribati,27.89,66,3.57,0.999625144,194647202,41.2,68.1,92,0.608959987,0.2,117606,6.874755729,2
Kuwait,13.94,98734,2.08,0.35,1.35E+11,6.7,75.4,12,0.95,2.58,4207083,2.18,3
Kyrgyzstan,27.1,9787,3.3,0.56,8454619608,16.9,71.4,60,0.09,1.88,6456900,6.33,2
Laos,23.55,17763,2.67,0.93,18173839128,37.6,67.6,185,0.83,0.37,7169455,0.63,2
Latvia,10,7004,1.6,1.16,34117202555,3.3,74.7,19,2.8,3.19,1912789,6.52,3
Lebanon,17.55,24796,2.09,0.74,53367042272,6.4,78.9,29,2.15,2.1,6855713,6.23,2
Lesotho,26.81,2512,3.14,0.7,2460072444,65.7,53.7,544,0.41,0.07,2125268,23.41,2
Liberia,33.04,1386,4.32,0.8,3070518100,53.5,63.7,661,0.17,0.04,4937374,2.81,1
Libya,18.83,50564,2.24,0.11,52076250948,10.2,72.7,72,1.88,2.09,6777452,18.56,2
Liechtenstein,9.9,51,1.44,1.74,6552858739,5.166726331,83,-29.23228993,4.891183995,3.428095032,38019,6.955896594,3
Lithuania,10,12963,1.63,1.16,54219315600,3.3,75.7,8,2.41,6.35,2786844,6.35,3
Luxembourg,10.3,8988,1.37,1.19,71104919108,1.9,82.1,5,13.05,3.01,645397,5.36,3
Madagascar,32.66,3905,4.08,1.11,14083906357,38.2,66.7,335,0.21,0.18,26969307,1.76,1
Malawi,34.12,1298,4.21,1.15,7666704427,35.3,63.8,349,0.12,0.04,18628747,5.65,1
Malaysia,16.75,248289,2,0.45,3.65E+11,6.7,76,29,0.93,1.51,32447385,3.32,2
Maldives,14.2,1445,1.87,1.63,5729248472,7.4,78.6,53,4.000596074,4.56,530953,6.14,2
Mali,41.54,3179,5.88,1.12,17510141171,62,58.9,562,0.23,0.13,19658031,7.22,1
Malta,9.2,1342,1.23,1.36,14786156563,6.1,82.3,6,5.07,2.86,502653,3.47,3
Marshall Islands,29.03,143,4.05,1.44,221278000,27.4,65.2,244.1176428,2,0.42,58791,6.914844206,2
Mauritania,33.69,2739,4.56,1.13,7593752450,51.5,64.7,766,0.53,0.19,4525696,9.55,2
Mauritius,10.2,4349,1.41,1.12,14180444557,13.6,74.4,61,0.38,2.53,1265711,6.67,2
Mexico,17.6,486406,2.13,0.73,1.26E+12,11,75,33,0.49,2.38,126014024,3.42,2
Federated States of Micronesia,22.82,143,3.05,1.008699195,401932279,25.6,67.8,88,0.449668687,0.18,113815,6.884363108,2
Moldova,10.1,5115,1.26,0.8,11955435457,13.6,71.8,19,0.31,3.21,2657637,5.47,2
Monaco,5.9,-35236.28144,1.240971164,2,7184844193,2.6,81.82542362,-9.79928393,11.72,6.56,38964,6.962482173,3
Mongolia,24.13,25368,2.9,0.72,13852850259,14,69.7,45,0.65,2.86,3225167,6.01,2
Montenegro,11.73,2017,1.75,1.16,5494736901,2.3,76.8,6,1.23,2.76,622137,14.88,2
Morocco,18.94,61276,2.42,0.99,1.19E+11,19.2,76.5,70,1.6,0.73,36910560,9.02,2
Mozambique,37.52,7943,4.85,0.65,14934159926,54,60.2,289,0.27,0.08,30366036,3.24,1
Myanmar,17.55,25280,2.15,0.54,76085852617,36.8,66.9,250,0.39,0.68,54045420,1.58,2
Namibia,28.64,4228,3.4,0.76,12366527719,29,63.4,195,-1.287393839,0.42,2494530,20.27,2
Nepal,19.89,9105,1.92,0.91,30641380604,26.7,70.5,186,0.36,0.75,28608710,1.41,2
Netherlands,9.7,170780,1.59,1.68,9.09E+11,3.3,81.8,5,10.29,3.61,17332850,3.2,3
New Zealand,11.98,34382,1.71,1.4,2.07E+11,4.7,81.9,9,11.49,3.59,4841000,4.07,3
Nicaragua,20.64,5592,2.4,0.91,12520915291,15.7,74.3,98,0.54,0.98,6545502,6.84,2
Niger,46.08,2017,6.91,0.88,12928145120,48,62,509,0.29,0.04,23310715,0.47,1
Nigeria,37.91,120369,5.39,0.46,4.48E+11,75.7,54.3,917,0.54,0.38,200963599,8.1,2
North Korea,13.89,28284,1.9,0.58,32100000000,13.7,72.1,89,2.295480016,3.67,25666161,2.74,2
