,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,"frozenset({'Oxacillin', 'Penicillin', 'Tetracycline'})",frozenset({'Erythromycin'}),0.11570247933884298,0.45454545454545453,0.1046831955922865,0.9047619047619048,1.9904761904761905,0.05209115952917606,5.7272727272727275,0.5627151992129857
6,"frozenset({'Amikacin', 'Tetracycline'})",frozenset({'Gentamicin'}),0.23140495867768596,0.418732782369146,0.2231404958677686,0.9642857142857143,2.3028665413533833,0.12624365366664392,16.275482093663918,0.7360945174565247
8,"frozenset({'Amikacin', 'Decade_2010-2020', 'Tetracycline'})",frozenset({'Gentamicin'}),0.1790633608815427,0.418732782369146,0.17355371900826447,0.9692307692307692,2.3146761133603238,0.09857401968596559,18.891184573002754,0.6918610844785341
10,"frozenset({'Amikacin', 'Gram_ID_Positive', 'Decade_2010-2020', 'Tetracycline'})",frozenset({'Gentamicin'}),0.16804407713498623,0.418732782369146,0.162534435261708,0.9672131147540983,2.309857635893011,0.09216887128231982,17.728650137741027,0.6816140981030419
12,"frozenset({'Amikacin', 'Decade_2010-2020', 'Tetracycline'})","frozenset({'Gram_ID_Positive', 'Gentamicin'})",0.1790633608815427,0.3581267217630854,0.162534435261708,0.9076923076923077,2.5345562130177512,0.0984070608413208,6.9536271808999075,0.7375156409964737
13,"frozenset({'Amikacin', 'Gram_ID_Positive', 'Tetracycline'})",frozenset({'Gentamicin'}),0.22038567493112948,0.418732782369146,0.21212121212121213,0.9625,2.2986019736842107,0.11983850526299812,15.500459136822782,0.7246569684732228
15,"frozenset({'Amikacin', 'Tetracycline'})","frozenset({'Gram_ID_Positive', 'Gentamicin'})",0.23140495867768596,0.3581267217630854,0.21212121212121213,0.9166666666666666,2.5596153846153844,0.1292489128702502,7.702479338842971,0.7927663734115347
16,"frozenset({'Amikacin', 'Erythromycin'})",frozenset({'Gentamicin'}),0.12672176308539945,0.418732782369146,0.12672176308539945,1.0,2.388157894736842,0.0736592066419264,inf,0.6656151419558359
17,"frozenset({'Amikacin', 'Erythromycin', 'Gram_ID_Positive'})",frozenset({'Gentamicin'}),0.11294765840220386,0.418732782369146,0.11294765840220386,1.0,2.388157894736842,0.06565277113736918,inf,0.65527950310559
18,"frozenset({'Amikacin', 'Oxacillin'})",frozenset({'Gentamicin'}),0.10192837465564739,0.418732782369146,0.10192837465564739,1.0,2.388157894736842,0.05924762273372341,inf,0.6472392638036809
23,"frozenset({'Sex_F', 'Gram_ID_Positive', 'Decade_2010-2020', 'Gentamicin'})",frozenset({'Amikacin'}),0.11294765840220386,0.349862258953168,0.1046831955922865,0.926829268292683,2.6491261763011336,0.06516707268022069,8.88521579430671,0.7017816279830009
24,"frozenset({'Amikacin', 'Sex_F', 'Tetracycline'})",frozenset({'Gentamicin'}),0.11019283746556474,0.418732782369146,0.10743801652892562,0.975,2.328453947368421,0.06129666309981862,23.25068870523414,0.6411844089862665
25,"frozenset({'Tetracycline', 'Sex_F', 'Gentamicin'})",frozenset({'Amikacin'}),0.1184573002754821,0.349862258953168,0.10743801652892562,0.9069767441860465,2.5923823475553927,0.06599427786505171,6.988980716253439,0.6967948717948718
27,"frozenset({'Amikacin', 'Sex_F', 'Gram_ID_Positive', 'Tetracycline'})",frozenset({'Gentamicin'}),0.10743801652892562,0.418732782369146,0.1046831955922865,0.9743589743589743,2.3269230769230766,0.05969537599890718,22.669421487603287,0.638888888888889
29,"frozenset({'Tetracycline', 'Sex_F', 'Gram_ID_Positive', 'Gentamicin'})",frozenset({'Amikacin'}),0.11019283746556474,0.349862258953168,0.1046831955922865,0.95,2.7153543307086614,0.06613088055612473,13.002754820936628,0.7099560045624899
30,"frozenset({'Amikacin', 'Sex_F', 'Tetracycline'})","frozenset({'Gram_ID_Positive', 'Gentamicin'})",0.11019283746556474,0.3581267217630854,0.1046831955922865,0.95,2.6526923076923077,0.0652201959489713,12.83746556473828,0.7001792406713377
31,frozenset({'Gram_ID_Negative'}),frozenset({'Penicillin'}),0.33884297520661155,0.4793388429752066,0.3085399449035813,0.910569105691057,1.8996355480796188,0.14611934521776748,5.821938392186331,0.716294642857143
32,"frozenset({'Penicillin', 'Gram_ID_Negative'})",frozenset({'Erythromycin'}),0.3085399449035813,0.45454545454545453,0.27823691460055094,0.9017857142857142,1.9839285714285713,0.1379914850989231,5.553719008264457,0.7172498126306653
33,"frozenset({'Erythromycin', 'Gram_ID_Negative'})",frozenset({'Penicillin'}),0.2809917355371901,0.4793388429752066,0.27823691460055094,0.9901960784313725,2.065753887762001,0.143546661202559,53.10743801652852,0.717537270968476
34,"frozenset({'Oxacillin', 'Gram_ID_Negative'})",frozenset({'Penicillin'}),0.24793388429752067,0.4793388429752066,0.24517906336088155,0.9888888888888889,2.0630268199233717,0.12633472212735924,46.85950413223158,0.6851463143597976
35,"frozenset({'Oxacillin', 'Gram_ID_Negative'})",frozenset({'Erythromycin'}),0.24793388429752067,0.45454545454545453,0.2369146005509642,0.9555555555555556,2.102222222222222,0.12421738041572752,12.272727272727284,0.6971633018144647
36,"frozenset({'Oxacillin', 'Erythromycin', 'Gram_ID_Negative'})",frozenset({'Penicillin'}),0.2369146005509642,0.4793388429752066,0.2369146005509642,1.0,2.086206896551724,0.12335223003893177,inf,0.6823104693140793
37,"frozenset({'Oxacillin', 'Gram_ID_Negative', 'Penicillin'})",frozenset({'Erythromycin'}),0.24517906336088155,0.45454545454545453,0.2369146005509642,0.9662921348314607,2.1258426966292134,0.1254695717505635,16.181818181818194,0.7016211169580717
38,"frozenset({'Oxacillin', 'Gram_ID_Negative'})","frozenset({'Penicillin', 'Erythromycin'})",0.24793388429752067,0.3415977961432507,0.2369146005509642,0.9555555555555556,2.7973118279569893,0.15222093208569543,14.814049586776875,0.8543317147968312
39,"frozenset({'Gram_ID_Negative', 'Decade_2010-2020'})",frozenset({'Penicillin'}),0.1928374655647383,0.4793388429752066,0.18732782369146006,0.9714285714285714,2.0266009852216746,0.09489333606538715,18.223140495867764,0.6275848223248343
40,"frozenset({'Erythromycin', 'Gram_ID_Negative', 'Decade_2010-2020'})",frozenset({'Penicillin'}),0.17079889807162535,0.4793388429752066,0.16804407713498623,0.9838709677419355,2.0525583982202447,0.08617353095189309,32.28099173553722,0.6184303687163009
41,"frozenset({'Oxacillin', 'Gram_ID_Negative', 'Decade_2010-2020'})",frozenset({'Penicillin'}),0.15702479338842976,0.4793388429752066,0.15426997245179064,0.9824561403508771,2.0496067755595884,0.07900188967055985,29.67768595041313,0.6074929971988796
42,"frozenset({'Oxacillin', 'Gram_ID_Negative', 'Decade_2010-2020'})",frozenset({'Erythromycin'}),0.15702479338842976,0.45454545454545453,0.1487603305785124,0.9473684210526315,2.0842105263157893,0.07738542449286251,10.363636363636353,0.6171023965141613
43,"frozenset({'Oxacillin', 'Erythromycin', 'Gram_ID_Negative', 'Decade_2010-2020'})",frozenset({'Penicillin'}),0.1487603305785124,0.4793388429752066,0.1487603305785124,1.0,2.086206896551724,0.07745372583839902,inf,0.6116504854368932
44,"frozenset({'Penicillin', 'Gram_ID_Negative', 'Oxacillin', 'Decade_2010-2020'})",frozenset({'Erythromycin'}),0.15426997245179064,0.45454545454545453,0.1487603305785124,0.9642857142857143,2.1214285714285714,0.07863761582769847,15.272727272727279,0.6250452406804199
45,"frozenset({'Oxacillin', 'Gram_ID_Negative', 'Decade_2010-2020'})","frozenset({'Penicillin', 'Erythromycin'})",0.15702479338842976,0.3415977961432507,0.1487603305785124,0.9473684210526315,2.7733446519524616,0.09512100721717551,12.509641873278225,0.7585330428467684
46,"frozenset({'Penicillin', 'Gram_ID_Negative', 'Decade_2000-2009'})",frozenset({'Erythromycin'}),0.12121212121212122,0.45454545454545453,0.11019283746556474,0.9090909090909091,2.0,0.05509641873278237,5.999999999999997,0.5689655172413793
47,"frozenset({'Erythromycin', 'Gram_ID_Negative', 'Decade_2000-2009'})",frozenset({'Penicillin'}),0.11019283746556474,0.4793388429752066,0.11019283746556474,1.0,2.086206896551724,0.05737313025066594,inf,0.5851393188854489
48,"frozenset({'Sex_F', 'Gram_ID_Negative'})",frozenset({'Penicillin'}),0.13774104683195593,0.4793388429752066,0.12672176308539945,0.92,1.9193103448275863,0.06069712906677595,6.5082644628099215,0.5554938185859147
49,"frozenset({'Penicillin', 'Sex_F', 'Gram_ID_Negative'})",frozenset({'Erythromycin'}),0.12672176308539945,0.45454545454545453,0.11570247933884298,0.9130434782608695,2.008695652173913,0.058101677936388686,6.272727272727268,0.5750337990085624
50,"frozenset({'Penicillin', 'Sex_F', 'Erythromycin'})",frozenset({'Gram_ID_Negative'}),0.12396694214876033,0.33884297520661155,0.11570247933884298,0.9333333333333333,2.7544715447154475,0.07369715183389114,9.917355371900829,0.7270889487870621
51,"frozenset({'Sex_F', 'Gram_ID_Negative', 'Erythromycin'})",frozenset({'Penicillin'}),0.1184573002754821,0.4793388429752066,0.11570247933884298,0.9767441860465116,2.0376904570970327,0.058921294082826765,22.388429752066077,0.5776785714285714
52,"frozenset({'Oxacillin', 'Sex_F', 'Gram_ID_Negative'})",frozenset({'Penicillin'}),0.10743801652892562,0.4793388429752066,0.10743801652892562,1.0,2.086206896551724,0.05593880199439929,inf,0.5833333333333333
53,"frozenset({'Oxacillin', 'Sex_F', 'Gram_ID_Negative'})",frozenset({'Erythromycin'}),0.10743801652892562,0.45454545454545453,0.10192837465564739,0.9487179487179487,2.0871794871794873,0.05309291259704483,10.636363636363628,0.5835835835835835
54,"frozenset({'Penicillin', 'Erythromycin', 'Oxacillin', 'Sex_F'})",frozenset({'Gram_ID_Negative'}),0.10743801652892562,0.33884297520661155,0.10192837465564739,0.9487179487179487,2.799874921826141,0.06552375748468911,12.892561983471065,0.7202202202202201
55,"frozenset({'Oxacillin', 'Erythromycin', 'Gram_ID_Negative', 'Sex_F'})",frozenset({'Penicillin'}),0.10192837465564739,0.4793388429752066,0.10192837465564739,1.0,2.086206896551724,0.05307014548186599,inf,0.5797546012269938
56,"frozenset({'Penicillin', 'Sex_F', 'Gram_ID_Negative', 'Oxacillin'})",frozenset({'Erythromycin'}),0.10743801652892562,0.45454545454545453,0.10192837465564739,0.9487179487179487,2.0871794871794873,0.05309291259704483,10.636363636363628,0.5835835835835835
57,"frozenset({'Oxacillin', 'Sex_F', 'Gram_ID_Negative'})","frozenset({'Penicillin', 'Erythromycin'})",0.10743801652892562,0.3415977961432507,0.10192837465564739,0.9487179487179487,2.777295285359801,0.06522778498736426,12.838842975206601,0.716966966966967
58,frozenset({'Rifampin'}),frozenset({'Erythromycin'}),0.31955922865013775,0.45454545454545453,0.29476584022038566,0.9224137931034482,2.029310344827586,0.14951164537941394,7.0303030303030205,0.7454311551704565
59,frozenset({'Rifampin'}),frozenset({'Oxacillin'}),0.31955922865013775,0.39944903581267216,0.29201101928374656,0.9137931034482759,2.2876337693222357,0.1643633935144078,6.966391184573007,0.8272095332671301
60,"frozenset({'Oxacillin', 'Rifampin'})",frozenset({'Erythromycin'}),0.29201101928374656,0.45454545454545453,0.2837465564738292,0.9716981132075471,2.1377358490566034,0.1510142749812171,19.2727272727272,0.7517283064485664
61,"frozenset({'Rifampin', 'Erythromycin'})",frozenset({'Oxacillin'}),0.29476584022038566,0.39944903581267216,0.2837465564738292,0.9626168224299065,2.409861424427973,0.16600262580728395,16.064738292011018,0.829566140776699
62,"frozenset({'Penicillin', 'Rifampin'})",frozenset({'Erythromycin'}),0.2644628099173554,0.45454545454545453,0.25895316804407714,0.9791666666666666,2.154166666666667,0.1387427998998247,26.181818181818134,0.7284245756633995
63,"frozenset({'Rifampin', 'Penicillin'})",frozenset({'Oxacillin'}),0.2644628099173554,0.39944903581267216,0.2534435261707989,0.9583333333333334,2.399137931034483,0.1478041117410013,14.413223140495882,0.7928676111382511
64,"frozenset({'Oxacillin', 'Rifampin', 'Penicillin'})",frozenset({'Erythromycin'}),0.2534435261707989,0.45454545454545453,0.25068870523415976,0.9891304347826085,2.176086956521739,0.13548710242925116,50.18181818181744,0.7239365800251408
65,"frozenset({'Oxacillin', 'Erythromycin', 'Penicillin'})",frozenset({'Rifampin'}),0.2727272727272727,0.31955922865013775,0.25068870523415976,0.9191919191919192,2.8764367816091956,0.16353618832957673,8.420454545454549,0.8969780219780218
66,"frozenset({'Rifampin', 'Erythromycin', 'Penicillin'})",frozenset({'Oxacillin'}),0.25895316804407714,0.39944903581267216,0.25068870523415976,0.9680851063829786,2.4235509904622154,0.14725011193831627,18.817263544536214,0.7926385881776216
67,"frozenset({'Rifampin', 'Penicillin'})","frozenset({'Oxacillin', 'Erythromycin'})",0.2644628099173554,0.3333333333333333,0.25068870523415976,0.9479166666666665,2.8437499999999996,0.16253443526170797,12.799999999999965,0.8814668477589825
68,"frozenset({'Rifampin', 'Gram_ID_Negative'})",frozenset({'Penicillin'}),0.2396694214876033,0.4793388429752066,0.22589531680440772,0.9425287356321839,1.9663099484740387,0.11101245361200282,9.0595041322314,0.6463414634146342
69,"frozenset({'Oxacillin', 'Gram_ID_Negative'})",frozenset({'Rifampin'}),0.24793388429752067,0.31955922865013775,0.22589531680440772,0.9111111111111111,2.8511494252873564,0.1466657559820595,7.654958677685949,0.863307424283034
70,"frozenset({'Rifampin', 'Gram_ID_Negative'})",frozenset({'Oxacillin'}),0.2396694214876033,0.39944903581267216,0.22589531680440772,0.9425287356321839,2.3595719381688465,0.13015959747740363,10.449586776859498,0.7578207847295864
71,"frozenset({'Rifampin', 'Gram_ID_Negative'})",frozenset({'Erythromycin'}),0.2396694214876033,0.45454545454545453,0.22589531680440772,0.9425287356321839,2.0735632183908046,0.11695467067367894,9.490909090909083,0.6809384941675504
72,"frozenset({'Oxacillin', 'Rifampin', 'Gram_ID_Negative'})",frozenset({'Penicillin'}),0.22589531680440772,0.4793388429752066,0.22589531680440772,1.0,2.086206896551724,0.11761491701386517,inf,0.6725978647686833
73,"frozenset({'Oxacillin', 'Gram_ID_Negative', 'Penicillin'})",frozenset({'Rifampin'}),0.24517906336088155,0.31955922865013775,0.22589531680440772,0.9213483146067416,2.883184812088338,0.14754608443564116,8.651318378591109,0.8653195656044151
74,"frozenset({'Rifampin', 'Gram_ID_Negative', 'Penicillin'})",frozenset({'Oxacillin'}),0.22589531680440772,0.39944903581267216,0.22589531680440772,1.0,2.503448275862069,0.13566165031228894,inf,0.7758007117437724
75,"frozenset({'Oxacillin', 'Gram_ID_Negative'})","frozenset({'Rifampin', 'Penicillin'})",0.24793388429752067,0.2644628099173554,0.22589531680440772,0.9111111111111111,3.4451388888888888,0.16032602508936095,8.27479338842975,0.9437148217636023
76,"frozenset({'Rifampin', 'Gram_ID_Negative'})","frozenset({'Oxacillin', 'Penicillin'})",0.2396694214876033,0.3168044077134986,0.22589531680440772,0.9425287356321839,2.975112443778111,0.14996698768299072,11.887603305785117,0.8731442205726406
77,"frozenset({'Penicillin', 'Rifampin', 'Gram_ID_Negative'})",frozenset({'Erythromycin'}),0.22589531680440772,0.45454545454545453,0.22589531680440772,1.0,2.2,0.12321562734785876,inf,0.7046263345195731
