Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Repayment
Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,0
Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,1
Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,1
Male,No,0,Graduate,No,6000,0,141,360,1,Urban,1
Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,1
Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,1
Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,1
Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,0
Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,1
Male,No,0,Graduate,No,4950,0,125,360,1,Urban,1
Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,1
Female,No,0,Graduate,No,3510,0,76,360,0,Urban,0
Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,0
Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,1
Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,0
Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,0
,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,0
Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,1
Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,1
Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,0
Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,1
Male,No,0,Graduate,No,3167,0,74,360,1,Urban,0
Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,0
Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,1
Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,0
Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,1
Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,1
Male,No,0,Graduate,No,3600,0,80,360,1,Urban,0
Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,1
Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,1
Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,1
Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,1
Female,No,0,Graduate,No,3410,0,88,,1,Urban,1
Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,1
Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,1
Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,0
Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,1
Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,1
Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,1
Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,0
Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,0
Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,1
Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,1
Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,0
Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,1
Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,1
Male,Yes,3,Graduate,No,3029,0,99,360,1,Urban,1
Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,0
Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,0
Male,Yes,3,Not Graduate,Yes,7100,0,125,60,1,Urban,1
Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,0
Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,1
Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,1
Male,Yes,3,Not Graduate,No,4755,0,95,,0,Semiurban,0
Male,No,0,Graduate,No,3750,0,113,480,1,Urban,0
Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,0
Male,Yes,3,Not Graduate,Yes,3333,2166,130,360,,Semiurban,1
Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,1
Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,1
Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,1
Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,1
Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,1
Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,1
Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,1
Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,1
Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,1
Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,1
Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,1
Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,1
Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,1
Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,1
Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,1
Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,0
Male,Yes,3,Not Graduate,No,2071,754,94,480,1,Semiurban,1
Male,No,0,Graduate,No,5316,0,136,360,1,Urban,1
Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,1
Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,1
Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,1
Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,1
Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,1
Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,1
Female,No,0,Graduate,No,3692,0,93,360,,Rural,1
Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,1
Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,1
Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,1
Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,1
Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,0
