age,job,marital,education,default,balance,housing,loan,last_contact_duration,campaign_contacs,passed _days,previous_contacts ,previous_marketing_outcome,successful_marketing
30,unemployed,married,primary,no,1787,no,no,79,1,,0,unknown,0
33,services,married,secondary,no,4789,yes,yes,220,1,339,4,failure,0
35,management,single,tertiary,no,1350,yes,no,185,1,330,1,failure,0
30,management,married,tertiary,no,1476,yes,yes,199,4,,0,unknown,0
59,blue-collar,married,secondary,no,0,yes,no,226,1,,0,unknown,0
35,management,single,tertiary,no,747,no,no,141,2,176,3,failure,0
36,self-employed,married,tertiary,no,307,yes,no,341,1,330,2,other,0
39,technician,married,secondary,no,147,yes,no,151,2,,0,unknown,0
41,entrepreneur,married,tertiary,no,221,yes,no,57,2,,0,unknown,0
43,services,married,primary,no,-88,yes,yes,313,1,147,2,failure,0
39,services,married,secondary,no,9374,yes,no,273,1,,0,unknown,0
43,admin.,married,secondary,no,264,yes,no,113,2,,0,unknown,0
36,technician,married,tertiary,no,1109,no,no,328,2,,0,unknown,0
20,student,single,secondary,no,502,no,no,261,1,,0,unknown,1
31,blue-collar,married,secondary,no,360,yes,yes,89,1,241,1,failure,0
40,management,married,tertiary,no,194,no,yes,189,2,,0,unknown,0
56,technician,married,secondary,no,4073,no,no,239,5,,0,unknown,0
37,admin.,single,tertiary,no,2317,yes,no,114,1,152,2,failure,0
25,blue-collar,single,primary,no,-221,yes,no,250,1,,0,unknown,0
31,services,married,secondary,no,132,no,no,148,1,152,1,other,0
38,management,divorced,unknown,no,0,yes,no,96,2,,0,unknown,0
42,management,divorced,tertiary,no,16,no,no,140,3,,0,unknown,0
44,services,single,secondary,no,106,no,no,109,2,,0,unknown,0
44,entrepreneur,married,secondary,no,93,no,no,125,2,,0,unknown,0
26,housemaid,married,tertiary,no,543,no,no,169,3,,0,unknown,0
41,management,married,tertiary,no,5883,no,no,182,2,,0,unknown,0
55,blue-collar,married,primary,no,627,yes,no,247,1,,0,unknown,0
67,retired,married,unknown,no,696,no,no,119,1,105,2,failure,0
56,self-employed,married,secondary,no,784,no,yes,149,2,,0,unknown,0
53,admin.,married,secondary,no,105,no,yes,74,2,,0,unknown,0
68,retired,divorced,secondary,no,4189,no,no,897,2,,0,unknown,1
31,technician,married,secondary,no,171,no,no,81,3,,0,unknown,0
59,management,married,secondary,no,42,no,no,40,1,,0,unknown,0
32,management,single,tertiary,no,2536,yes,no,958,6,,0,unknown,1
49,technician,married,tertiary,no,1235,no,no,354,3,,0,unknown,1
42,admin.,divorced,secondary,no,1811,yes,no,150,1,,0,unknown,0
78,retired,divorced,primary,no,229,no,no,97,1,,0,unknown,1
32,blue-collar,married,secondary,no,2089,yes,no,132,1,,0,unknown,1
33,management,married,secondary,no,3935,yes,no,765,1,342,2,failure,1
23,services,single,tertiary,no,363,yes,no,16,18,,0,unknown,0
38,management,single,tertiary,no,11971,yes,no,609,2,101,3,failure,0
36,management,single,tertiary,no,553,no,no,106,2,,0,unknown,0
52,blue-collar,married,secondary,no,1117,yes,no,365,1,,0,unknown,0
32,technician,married,tertiary,no,396,yes,no,205,3,,0,unknown,0
32,technician,single,tertiary,no,2204,yes,no,11,4,,0,unknown,0
34,management,single,tertiary,no,872,yes,no,105,2,,0,unknown,0
55,blue-collar,married,primary,no,145,no,no,59,3,5,2,other,0
26,blue-collar,married,primary,no,0,yes,no,425,1,,0,unknown,0
32,entrepreneur,single,primary,yes,-849,yes,yes,204,1,,0,unknown,0
61,admin.,married,unknown,no,4629,yes,no,181,1,92,1,success,1
45,blue-collar,divorced,primary,no,844,no,no,1018,3,,0,unknown,1
37,technician,single,secondary,no,228,yes,no,1740,2,,0,unknown,0
38,technician,single,secondary,no,50,no,no,98,2,,0,unknown,0
34,technician,married,tertiary,no,1539,yes,no,441,1,56,1,other,1
53,blue-collar,married,secondary,no,2231,yes,no,272,3,,0,unknown,0
48,admin.,married,secondary,no,3064,yes,no,159,2,,0,unknown,0
57,management,married,secondary,no,82,no,yes,140,1,,0,unknown,0
33,self-employed,single,tertiary,no,2155,no,no,295,1,,0,unknown,0
36,retired,single,secondary,no,101,yes,yes,314,1,,0,unknown,0
54,technician,divorced,secondary,no,784,yes,yes,579,1,,0,unknown,0
41,blue-collar,married,primary,no,-516,no,yes,554,3,,0,unknown,0
63,retired,married,secondary,no,415,yes,no,323,1,,0,unknown,0
48,management,married,tertiary,no,5887,no,no,227,2,,0,unknown,0
48,services,married,secondary,no,1355,no,no,134,2,,0,unknown,0
56,admin.,married,secondary,no,16873,no,no,223,1,,0,unknown,0
51,blue-collar,divorced,secondary,no,203,yes,no,134,1,170,5,failure,0
31,services,married,secondary,no,338,yes,no,155,1,,0,unknown,0
29,technician,married,secondary,no,444,yes,no,130,4,,0,unknown,0
41,management,married,secondary,no,0,no,yes,630,3,,0,unknown,0
32,technician,single,tertiary,no,360,no,no,164,2,,0,unknown,0
37,management,married,tertiary,no,0,no,no,268,2,182,3,success,1
42,entrepreneur,divorced,tertiary,yes,2,yes,no,380,1,,0,unknown,0
31,management,single,tertiary,no,6248,yes,no,154,2,,0,unknown,0
41,services,married,tertiary,no,412,yes,no,154,5,,0,unknown,0
56,retired,married,secondary,no,344,yes,no,221,1,,0,unknown,0
54,management,divorced,tertiary,no,3222,no,no,67,2,,0,unknown,0
41,blue-collar,divorced,secondary,no,174,yes,no,367,2,297,1,other,0
40,technician,single,secondary,no,591,no,yes,87,6,,0,unknown,0
50,blue-collar,divorced,primary,no,388,no,no,701,1,,0,unknown,0
40,unemployed,married,secondary,no,219,yes,no,204,2,196,1,failure,0
27,admin.,divorced,secondary,no,451,yes,no,652,1,,0,unknown,1
60,retired,married,primary,no,5,no,no,63,2,,0,unknown,0
28,admin.,single,secondary,no,177,yes,yes,150,1,,0,unknown,0
52,services,married,secondary,no,657,no,no,398,2,460,2,failure,1
37,management,married,tertiary,no,1315,no,no,224,1,,0,unknown,1
51,blue-collar,married,primary,no,1466,yes,no,406,2,,0,unknown,0
41,technician,single,secondary,no,879,no,yes,60,4,,0,unknown,0
35,blue-collar,single,primary,no,293,yes,no,521,2,,0,unknown,0
38,admin.,married,secondary,no,424,yes,no,279,1,,0,unknown,0
34,blue-collar,married,secondary,no,1831,yes,no,203,2,,0,unknown,0
39,blue-collar,married,primary,no,111,no,no,201,2,,0,unknown,0
34,blue-collar,married,primary,no,455,yes,no,372,3,,0,unknown,0
27,services,single,secondary,no,-195,yes,no,391,1,,0,unknown,1
32,management,single,tertiary,no,3616,no,no,165,2,,0,unknown,0
57,blue-collar,married,secondary,no,14093,no,no,231,5,,0,unknown,0
41,unknown,single,tertiary,no,1567,no,no,291,2,,0,unknown,0
41,admin.,married,tertiary,no,5426,yes,no,149,2,,0,unknown,0
30,admin.,single,tertiary,no,261,no,no,233,1,137,20,failure,0
36,blue-collar,divorced,secondary,no,2843,no,no,473,1,182,1,success,0
31,unemployed,single,primary,no,406,no,no,736,1,,0,unknown,1
36,blue-collar,married,secondary,no,0,yes,no,337,1,,0,unknown,0
38,management,single,tertiary,no,493,yes,no,553,1,367,7,failure,0
49,technician,married,secondary,no,5996,no,no,345,2,,0,unknown,0
57,services,single,primary,no,3777,yes,no,65,2,,0,unknown,0
34,management,single,secondary,no,524,no,no,9,1,,0,unknown,0
32,management,single,tertiary,no,574,yes,no,259,2,145,3,failure,0
37,blue-collar,married,secondary,no,427,yes,yes,371,3,,0,unknown,0
33,self-employed,married,tertiary,no,483,yes,no,280,2,,0,unknown,0
56,unemployed,married,primary,no,3391,no,no,243,1,,0,unknown,1
27,housemaid,married,primary,no,0,yes,no,435,3,,0,unknown,0
21,student,single,secondary,no,2488,no,no,258,6,169,3,success,1
58,management,married,tertiary,no,1517,yes,no,7,5,,0,unknown,0
32,self-employed,married,secondary,no,217,yes,yes,317,5,,0,unknown,0
33,blue-collar,single,secondary,no,22,no,no,76,2,207,1,failure,0
25,student,single,secondary,no,331,no,no,170,4,,0,unknown,1
25,technician,single,secondary,no,505,no,yes,386,2,,0,unknown,1
30,services,married,secondary,no,1808,yes,no,83,2,,0,unknown,0
22,admin.,single,secondary,no,4111,no,yes,65,1,,0,unknown,0
39,blue-collar,married,primary,no,52,no,no,69,1,,0,unknown,0
46,management,divorced,tertiary,no,25,no,no,564,2,,0,unknown,0
31,admin.,divorced,secondary,no,1890,yes,no,588,1,,0,unknown,0
45,blue-collar,married,primary,no,419,no,no,113,4,,0,unknown,0
32,technician,married,secondary,no,2693,yes,no,16,1,,0,unknown,0
36,blue-collar,married,secondary,no,-231,no,yes,779,2,,0,unknown,0
51,management,single,tertiary,yes,-55,yes,no,281,2,266,6,failure,0
34,self-employed,single,tertiary,no,462,no,no,1877,3,,0,unknown,1
24,unemployed,single,secondary,no,119,no,no,51,1,,0,unknown,0
45,technician,single,secondary,no,586,no,yes,32,3,,0,unknown,0
32,blue-collar,single,secondary,no,228,no,no,176,1,288,3,failure,0
77,retired,divorced,tertiary,no,4659,no,no,161,1,,0,unknown,1
41,blue-collar,married,primary,no,168,yes,no,187,3,,0,unknown,0
37,blue-collar,married,primary,no,0,yes,no,24,1,,0,unknown,0
43,blue-collar,married,unknown,yes,-715,yes,no,67,3,,0,unknown,0
48,admin.,married,unknown,no,0,yes,no,85,1,168,2,failure,0
27,technician,single,secondary,no,769,yes,no,317,2,,0,unknown,0
33,management,single,tertiary,no,0,no,no,236,10,,0,unknown,0
29,admin.,single,secondary,no,428,yes,yes,54,1,345,2,failure,0
34,management,single,tertiary,no,0,no,no,71,1,,0,unknown,0
52,management,married,tertiary,no,-970,yes,no,489,1,,0,unknown,1
60,management,married,unknown,no,6313,no,no,39,2,,0,unknown,0
32,management,divorced,tertiary,no,948,no,no,204,2,,0,unknown,0
32,management,single,tertiary,no,0,yes,no,455,2,,0,unknown,0
56,services,divorced,unknown,no,1877,yes,no,86,1,,0,unknown,0
31,management,single,tertiary,no,874,yes,no,190,2,,0,unknown,0
42,admin.,married,secondary,no,323,yes,yes,280,2,,0,unknown,0
35,management,married,tertiary,no,106,no,yes,588,2,,0,unknown,0
56,retired,married,primary,no,1906,no,yes,45,9,,0,unknown,0
48,technician,married,secondary,no,1152,yes,no,168,5,,0,unknown,0
46,admin.,married,secondary,no,179,yes,no,194,4,436,1,other,0
37,technician,single,unknown,no,391,yes,no,103,3,,0,unknown,0
41,entrepreneur,married,unknown,no,89,yes,no,333,2,,0,unknown,0
36,management,single,tertiary,no,442,yes,yes,102,3,,0,unknown,0
45,unemployed,divorced,primary,yes,-249,yes,yes,92,1,,0,unknown,0
55,entrepreneur,married,secondary,no,8104,no,no,213,2,,0,unknown,0
39,technician,married,secondary,no,501,no,no,289,1,,0,unknown,0
35,technician,divorced,secondary,no,308,no,no,77,2,,0,unknown,0
55,admin.,married,secondary,no,602,no,no,324,3,90,2,success,1
55,technician,married,secondary,no,273,yes,no,84,3,183,3,failure,0
27,self-employed,single,secondary,no,50,no,no,168,1,,0,unknown,0
34,technician,married,secondary,no,1641,yes,no,380,1,,0,unknown,0
34,blue-collar,married,tertiary,no,20,no,no,10,1,,0,unknown,0
25,admin.,single,secondary,no,4590,yes,no,199,2,,0,unknown,0
41,admin.,single,secondary,no,-256,no,yes,35,3,,0,unknown,0
43,services,married,secondary,no,978,yes,yes,82,2,,0,unknown,0
28,management,single,tertiary,no,80,no,no,676,2,146,2,failure,1
31,admin.,single,secondary,no,2104,yes,no,455,1,,0,unknown,0
78,housemaid,married,secondary,no,499,no,no,80,4,,0,unknown,0
45,blue-collar,divorced,secondary,no,1269,yes,no,549,2,,0,unknown,0
48,technician,married,tertiary,no,310,no,no,135,1,,0,unknown,0
32,blue-collar,single,secondary,no,1143,yes,yes,412,1,,0,unknown,0
42,technician,married,secondary,no,2980,no,no,101,3,,0,unknown,0
37,management,single,tertiary,no,37,no,no,253,2,,0,unknown,0
40,admin.,single,secondary,no,462,yes,yes,272,1,335,4,other,0
32,admin.,married,secondary,no,1031,yes,no,84,1,,0,unknown,0
42,management,married,tertiary,no,9009,no,no,135,2,,0,unknown,0
43,admin.,married,secondary,no,-465,yes,yes,166,1,,0,unknown,0
44,admin.,married,secondary,no,5181,yes,yes,18,7,,0,unknown,0
37,admin.,married,secondary,no,176,yes,no,147,2,347,1,failure,0
37,unknown,married,unknown,no,1699,no,no,63,1,,0,unknown,0
37,admin.,married,tertiary,no,0,yes,no,65,2,119,1,failure,0
28,technician,single,tertiary,no,172,yes,yes,194,2,,0,unknown,0
32,services,single,secondary,no,0,no,yes,333,2,,0,unknown,0
34,admin.,single,secondary,no,6979,yes,no,14,5,,0,unknown,0
40,admin.,divorced,secondary,no,6,no,no,140,1,,0,unknown,0
34,services,married,secondary,no,-62,yes,no,109,3,,0,unknown,0
34,self-employed,married,tertiary,no,1972,yes,no,61,2,,0,unknown,0
34,admin.,married,tertiary,no,899,yes,no,377,3,7,4,success,0
37,services,single,secondary,no,21,yes,no,96,1,271,2,other,0
36,technician,married,secondary,no,23,yes,no,152,2,347,1,failure,0
56,retired,married,secondary,no,-1206,yes,no,382,2,,0,unknown,1
49,blue-collar,married,primary,no,0,yes,yes,97,6,,0,unknown,0
33,self-employed,married,secondary,no,215,yes,no,543,12,,0,unknown,0
30,management,single,tertiary,no,1372,no,no,240,2,,0,unknown,0
36,services,married,secondary,no,1981,no,no,48,2,,0,unknown,0
23,student,single,secondary,no,9216,no,no,471,2,,0,unknown,0
57,retired,divorced,secondary,no,39,yes,no,354,3,,0,unknown,0
27,blue-collar,single,secondary,no,5563,yes,no,435,2,,0,unknown,0
38,services,married,secondary,no,1,no,yes,152,2,,0,unknown,0
42,technician,married,tertiary,no,782,no,no,285,1,,0,unknown,0
